State,Year,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error
MO,2004,574,5747741,10,9.2,10.8,0.4
MO,2005,640,5790300,11.1,10.2,11.9,0.4
MO,2006,765,5842704,13.1,12.2,14,0.5
MO,2007,730,5887612,12.4,11.5,13.3,0.5
MO,2008,779,5923916,13.2,12.2,14.1,0.5
MO,2009,881,5961088,14.8,13.8,15.8,0.5
MO,2010,1024,5988927,17.1,16.1,18.1,0.5
MO,2011,990,6010688,16.5,15.4,17.5,0.5
MO,2012,961,6021988,16,14.9,17,0.5
MO,2013,1041,6044171,17.2,16.2,18.3,0.5
MO,2014,1107,6063589,18.3,17.2,19.3,0.5
MO,2015,1098,6083672,18,17,19.1,0.5
MT,1999,48,897507,5.3,3.9,7.1,0.8
MT,2000,47,902195,5.2,3.8,6.9,0.8
MT,2001,62,906961,6.8,5.2,8.8,0.9
MT,2002,85,911667,9.3,7.4,11.5,1
MT,2003,116,919630,12.6,10.3,14.9,1.2
MT,2004,119,930009,12.8,10.5,15.1,1.2
MT,2005,119,940102,12.7,10.4,14.9,1.2
MT,2006,121,952692,12.7,10.4,15,1.2
MT,2007,132,964706,13.7,11.3,16,1.2
MT,2008,141,976415,14.4,12.1,16.8,1.2
MT,2009,147,983982,14.9,12.5,17.4,1.2
MT,2010,123,989415,12.4,10.2,14.6,1.1
MT,2011,150,998199,15,12.6,17.4,1.2
MT,2012,129,1005141,12.8,10.6,15,1.1
MT,2013,156,1015165,15.4,13,17.8,1.2
MT,2014,145,1023579,14.2,11.9,16.5,1.2
MT,2015,152,1032949,14.7,12.4,17.1,1.2
NE,1999,41,1704764,2.4,1.7,3.3,0.4
NE,2000,52,1711263,3,2.3,4,0.4
NE,2001,69,1719836,4,3.1,5.1,0.5
NE,2002,69,1728292,4,3.1,5.1,0.5
NE,2003,88,1738643,5.1,4.1,6.2,0.5
NE,2004,91,1749370,5.2,4.2,6.4,0.5
NE,2005,129,1761497,7.3,6.1,8.6,0.6
NE,2006,131,1772693,7.4,6.1,8.7,0.6
NE,2007,92,1783440,5.2,4.2,6.3,0.5
NE,2008,113,1796378,6.3,5.1,7.5,0.6
NE,2009,118,1812683,6.5,5.3,7.7,0.6
NE,2010,130,1826341,7.1,5.9,8.3,0.6
NE,2011,148,1842641,8,6.7,9.3,0.7
NE,2012,154,1855525,8.3,7,9.6,0.7
NE,2013,137,1868516,7.3,6.1,8.6,0.6
NE,2014,140,1881503,7.4,6.2,8.7,0.6
NE,2015,139,1896190,7.3,6.1,8.5,0.6
NV,1999,236,1934718,12.2,10.6,13.8,0.8
NV,2000,281,1998257,14.1,12.4,15.7,0.8
NV,2001,268,2098399,12.8,11.2,14.3,0.8
NV,2002,332,2173791,15.3,13.6,16.9,0.8
NV,2003,350,2248850,15.6,13.9,17.2,0.8
NV,2004,395,2346222,16.8,15.2,18.5,0.8
NV,2005,464,2432143,19.1,17.3,20.8,0.9
NV,2006,471,2522658,18.7,17,20.4,0.9
NV,2007,515,2601072,19.8,18.1,21.5,0.9
NV,2008,529,2653630,19.9,18.2,21.6,0.9
NV,2009,555,2684665,20.7,19,22.4,0.9
NV,2010,581,2700551,21.5,19.8,23.3,0.9
NV,2011,642,2723322,23.6,21.8,25.4,0.9
NV,2012,611,2758931,22.1,20.4,23.9,0.9
NV,2013,622,2790136,22.3,20.5,24,0.9
NV,2014,555,2839099,19.5,17.9,21.2,0.8
NV,2015,629,2890845,21.8,20.1,23.5,0.9
NH,1999,62,1222014,5.1,3.9,6.5,0.6
NH,2000,49,1235786,4,2.9,5.2,0.6
NH,2001,83,1255517,6.6,5.3,8.2,0.7
NH,2002,114,1269089,9,7.3,10.6,0.8
NH,2003,137,1279840,10.7,8.9,12.5,0.9
NH,2004,128,1290121,9.9,8.2,11.6,0.9
NH,2005,152,1298492,11.7,9.8,13.6,0.9
NH,2006,160,1308389,12.2,10.3,14.1,1
NH,2007,187,1312540,14.2,12.2,16.3,1
NH,2008,129,1315906,9.8,8.1,11.5,0.9
NH,2009,172,1316102,13.1,11.1,15,1
NH,2010,164,1316470,12.5,10.6,14.4,1
NH,2011,212,1318194,16.1,13.9,18.2,1.1
NH,2012,177,1320718,13.4,11.4,15.4,1
NH,2013,217,1323459,16.4,14.2,18.6,1.1
NH,2014,348,1326813,26.2,23.5,29,1.4
NH,2015,433,1330608,32.5,29.5,35.6,1.6
NJ,1999,757,8359592,9.1,8.4,9.7,0.3
NJ,2000,795,8414350,9.4,8.8,10.1,0.3
NJ,2001,796,8492671,9.4,8.7,10,0.3
NJ,2002,885,8552643,10.3,9.7,11,0.3
NJ,2003,792,8601402,9.2,8.6,9.8,0.3
NJ,2004,711,8634561,8.2,7.6,8.8,0.3
NJ,2005,966,8651974,11.2,10.5,11.9,0.4
NJ,2006,1009,8661679,11.6,10.9,12.4,0.4
NJ,2007,797,8677885,9.2,8.5,9.8,0.3
NJ,2008,808,8711090,9.3,8.6,9.9,0.3
NJ,2009,343,8755602,3.9,3.5,4.3,0.2
NJ,2010,903,8791894,10.3,9.6,10.9,0.3
NJ,2011,1042,8821155,11.8,11.1,12.5,0.4
NJ,2012,1268,8864590,14.3,13.5,15.1,0.4
NJ,2013,1331,8899339,15,14.2,15.8,0.4
NJ,2014,1303,8938175,14.6,13.8,15.4,0.4
NJ,2015,1506,8958013,16.8,16,17.7,0.4
NM,1999,275,1808082,15.2,13.4,17,0.9
NM,2000,281,1819046,15.4,13.6,17.3,0.9
NM,2001,277,1831690,15.1,13.3,16.9,0.9
NM,2002,301,1855309,16.2,14.4,18.1,0.9
NM,2003,373,1877574,19.9,17.8,21.9,1
NM,2004,331,1903808,17.4,15.5,19.3,1
NM,2005,385,1932274,19.9,17.9,21.9,1
NM,2006,435,1962137,22.2,20.1,24.3,1.1
NM,2007,471,1990070,23.7,21.5,25.8,1.1
NM,2008,534,2010662,26.6,24.3,28.8,1.1
NM,2009,447,2036802,21.9,19.9,24,1
NM,2010,487,2059179,23.7,21.5,25.8,1.1
NM,2011,537,2082224,25.8,23.6,28,1.1
NM,2012,502,2085538,24.1,22,26.2,1.1
NM,2013,471,2085287,22.6,20.5,24.6,1
NM,2014,559,2085572,26.8,24.6,29,1.1
NM,2015,516,2085109,24.7,22.6,26.9,1.1
NY,1999,1102,18882725,5.8,5.5,6.2,0.2
NY,2000,901,18976457,4.7,4.4,5.1,0.2
NY,2001,1280,19082838,6.7,6.3,7.1,0.2
NY,2002,1118,19137800,5.8,5.5,6.2,0.2
NY,2003,1209,19175939,6.3,5.9,6.7,0.2
NY,2004,1068,19171567,5.6,5.2,5.9,0.2
NY,2005,1175,19132610,6.1,5.8,6.5,0.2
NY,2006,1949,19104631,10.2,9.7,10.7,0.2
NY,2007,1909,19132335,10,9.5,10.4,0.2
NY,2008,1856,19212436,9.7,9.2,10.1,0.2
NY,2009,1797,19307066,9.3,8.9,9.7,0.2
NY,2010,1760,19378102,9.1,8.7,9.5,0.2
NY,2011,2149,19465197,11,10.6,11.5,0.2
NY,2012,2262,19570261,11.6,11.1,12,0.2
NY,2013,2483,19651127,12.6,12.1,13.1,0.3
NY,2014,2510,19746227,12.7,12.2,13.2,0.3
NY,2015,3009,19795791,15.2,14.7,15.7,0.3
NC,1999,401,7949361,5,4.6,5.5,0.3
NC,2000,531,8049313,6.6,6,7.2,0.3
NC,2001,584,8210122,7.1,6.5,7.7,0.3
NC,2002,684,8326201,8.2,7.6,8.8,0.3
NC,2003,833,8422501,9.9,9.2,10.6,0.3
NC,2004,918,8553152,10.7,10,11.4,0.4
NC,2005,1061,8705407,12.2,11.5,12.9,0.4
NC,2006,1120,8917270,12.6,11.8,13.3,0.4
NC,2007,1125,9118037,12.3,11.6,13.1,0.4
NC,2008,1217,9309449,13.1,12.3,13.8,0.4
NC,2009,1223,9449566,12.9,12.2,13.7,0.4
NC,2010,1125,9535483,11.8,11.1,12.5,0.4
NC,2011,1303,9656401,13.5,12.8,14.2,0.4
NC,2012,1346,9752073,13.8,13.1,14.5,0.4
NC,2013,1308,9848060,13.3,12.6,14,0.4
NC,2014,1435,9943964,14.4,13.7,15.2,0.4
NC,2015,1636,10042802,16.3,15.5,17.1,0.4
ND,1999,15,644259,Unreliable,1.3,3.8,0.6
ND,2000,16,642200,Unreliable,1.4,4,0.6
ND,2001,17,639062,Unreliable,1.5,4.3,0.6
ND,2002,24,638168,3.8,2.4,5.6,0.8
ND,2003,27,638817,4.2,2.8,6.1,0.8
ND,2004,21,644705,3.3,2,5,0.7
ND,2005,13,646089,Unreliable,1.1,3.4,0.6
ND,2006,16,649422,Unreliable,1.4,4,0.6
ND,2007,37,652822,5.7,4,7.8,0.9
ND,2008,48,657569,7.3,5.4,9.7,1.1
ND,2009,28,664968,4.2,2.8,6.1,0.8
ND,2010,26,672591,3.9,2.5,5.7,0.8
ND,2011,22,683932,3.2,2,4.9,0.7
ND,2012,27,699628,3.9,2.5,5.6,0.7
ND,2013,27,723393,3.7,2.5,5.4,0.7
ND,2014,48,739482,6.5,4.8,8.6,0.9
ND,2015,65,756927,8.6,6.6,10.9,1.1
OH,1999,534,11335454,4.7,4.3,5.1,0.2
OH,2000,625,11353140,5.5,5.1,5.9,0.2
OH,2001,808,11387404,7.1,6.6,7.6,0.2
OH,2002,1025,11407889,9,8.4,9.5,0.3
OH,2003,852,11434788,7.5,7,8,0.3
OH,2004,1266,11452251,11.1,10.4,11.7,0.3
OH,2005,1382,11463320,12.1,11.4,12.7,0.3
OH,2006,1606,11481213,14,13.3,14.7,0.3
OH,2007,1691,11500468,14.7,14,15.4,0.4
OH,2008,1811,11515391,15.7,15,16.5,0.4
OH,2009,1340,11528896,11.6,11,12.2,0.3
OH,2010,1911,11536504,16.6,15.8,17.3,0.4
OH,2011,2127,11544951,18.4,17.6,19.2,0.4
OH,2012,2207,11544225,19.1,18.3,19.9,0.4
OH,2013,2450,11570808,21.2,20.3,22,0.4
OH,2014,2832,11594163,24.4,23.5,25.3,0.5
OH,2015,3418,11613423,29.4,28.4,30.4,0.5
OK,1999,189,3437147,5.5,4.7,6.3,0.4
OK,2000,250,3450654,7.2,6.3,8.1,0.5
OK,2001,282,3467100,8.1,7.2,9.1,0.5
OK,2002,257,3489080,7.4,6.5,8.3,0.5
OK,2003,411,3504892,11.7,10.6,12.9,0.6
OK,2004,527,3525233,14.9,13.7,16.2,0.7
OK,2005,533,3548597,15,13.7,16.3,0.7
OK,2006,619,3594090,17.2,15.9,18.6,0.7
OK,2007,687,3634349,18.9,17.5,20.3,0.7
OK,2008,585,3668976,15.9,14.7,17.2,0.7
OK,2009,766,3717572,20.6,19.1,22.1,0.7
OK,2010,728,3751351,19.4,18,20.8,0.7
OK,2011,715,3791508,18.9,17.5,20.2,0.7
OK,2012,782,3814820,20.5,19.1,21.9,0.7
OK,2013,800,3850568,20.8,19.3,22.2,0.7
OK,2014,809,3878051,20.9,19.4,22.3,0.7
OK,2015,751,3911338,19.2,17.8,20.6,0.7
OR,1999,329,3393941,9.7,8.6,10.7,0.5
OR,2000,306,3421399,8.9,7.9,9.9,0.5
OR,2001,321,3467937,9.3,8.2,10.3,0.5
OR,2002,411,3513424,11.7,10.6,12.8,0.6
OR,2003,482,3547376,13.6,12.4,14.8,0.6
OR,2004,482,3569463,13.5,12.3,14.7,0.6
OR,2005,513,3613202,14.2,13,15.4,0.6
OR,2006,584,3670883,15.9,14.6,17.2,0.7
OR,2007,564,3722417,15.2,13.9,16.4,0.6
OR,2008,521,3768748,13.8,12.6,15,0.6
OR,2009,576,3808600,15.1,13.9,16.4,0.6
OR,2010,576,3831074,15,13.8,16.3,0.6
OR,2011,596,3871859,15.4,14.2,16.6,0.6
OR,2012,568,3899353,14.6,13.4,15.8,0.6
OR,2013,545,3930065,13.9,12.7,15,0.6
OR,2014,617,3970239,15.5,14.3,16.8,0.6
OR,2015,609,4028977,15.1,13.9,16.3,0.6
PA,1999,1049,12263805,8.6,8,9.1,0.3
PA,2000,1215,12281054,9.9,9.3,10.4,0.3
PA,2001,1021,12298970,8.3,7.8,8.8,0.3
PA,2002,1159,12331031,9.4,8.9,9.9,0.3
PA,2003,1441,12374658,11.6,11,12.2,0.3
PA,2004,1600,12410722,12.9,12.3,13.5,0.3
PA,2005,1680,12449990,13.5,12.8,14.1,0.3
PA,2006,1834,12510809,14.7,14,15.3,0.3
PA,2007,1812,12563937,14.4,13.8,15.1,0.3
PA,2008,1898,12612285,15,14.4,15.7,0.3
PA,2009,1983,12666858,15.7,15,16.3,0.4
PA,2010,1980,12702379,15.6,14.9,16.3,0.4
PA,2011,2342,12742886,18.4,17.6,19.1,0.4
PA,2012,2459,12763536,19.3,18.5,20,0.4
PA,2013,2525,12773801,19.8,19,20.5,0.4
PA,2014,2829,12787209,22.1,21.3,22.9,0.4
PA,2015,3376,12802503,26.4,25.5,27.3,0.5
RI,1999,61,1040402,5.9,4.5,7.5,0.8
RI,2000,76,1048319,7.2,5.7,9.1,0.8
RI,2001,116,1057142,11,9,13,1
RI,2002,112,1065995,10.5,8.6,12.5,1
RI,2003,157,1071342,14.7,12.4,16.9,1.2
RI,2004,109,1074579,10.1,8.2,12,1
RI,2005,163,1067916,15.3,12.9,17.6,1.2
RI,2006,179,1063096,16.8,14.4,19.3,1.3
RI,2007,142,1057315,13.4,11.2,15.6,1.1
RI,2008,193,1055003,18.3,15.7,20.9,1.3
RI,2009,168,1053646,15.9,13.5,18.4,1.2
RI,2010,176,1052567,16.7,14.3,19.2,1.3
RI,2011,193,1051302,18.4,15.8,20.9,1.3
RI,2012,201,1050292,19.1,16.5,21.8,1.3
RI,2013,252,1051511,24,21,26.9,1.5
RI,2014,253,1055173,24,21,26.9,1.5
RI,2015,318,1056298,30.1,26.8,33.4,1.7
SC,1999,168,3974682,4.2,3.6,4.9,0.3
SC,2000,289,4012012,7.2,6.4,8,0.4
SC,2001,265,4064995,6.5,5.7,7.3,0.4
SC,2002,238,4107795,5.8,5.1,6.5,0.4
SC,2003,310,4150297,7.5,6.6,8.3,0.4
SC,2004,383,4210921,9.1,8.2,10,0.5
SC,2005,486,4270150,11.4,10.4,12.4,0.5
SC,2006,641,4357847,14.7,13.6,15.8,0.6
SC,2007,584,4444110,13.1,12.1,14.2,0.5
SC,2008,588,4528996,13,11.9,14,0.5
SC,2009,631,4589872,13.7,12.7,14.8,0.5
SC,2010,697,4625364,15.1,14,16.2,0.6
SC,2011,641,4679230,13.7,12.6,14.8,0.5
SC,2012,611,4723723,12.9,11.9,14,0.5
SC,2013,648,4774839,13.6,12.5,14.6,0.5
SC,2014,726,4832482,15,13.9,16.1,0.6
SC,2015,793,4896146,16.2,15.1,17.3,0.6
SD,1999,20,750412,2.7,1.6,4.1,0.6
SD,2000,25,754844,3.3,2.1,4.9,0.7
SD,2001,25,757972,3.3,2.1,4.9,0.7
SD,2002,24,760020,3.2,2,4.7,0.6
SD,2003,25,763729,3.3,2.1,4.8,0.7
SD,2004,51,770396,6.6,4.9,8.7,0.9
SD,2005,47,775493,6.1,4.5,8.1,0.9
SD,2006,43,783033,5.5,4,7.4,0.8
SD,2007,34,791623,4.3,3,6,0.7
SD,2008,57,799124,7.1,5.4,9.2,0.9
SD,2009,51,807067,6.3,4.7,8.3,0.9
SD,2010,48,814180,5.9,4.3,7.8,0.9
SD,2011,60,824082,7.3,5.6,9.4,0.9
SD,2012,45,833354,5.4,3.9,7.2,0.8
SD,2013,57,844877,6.7,5.1,8.7,0.9
SD,2014,70,853175,8.2,6.4,10.4,1
SD,2015,72,858469,8.4,6.6,10.6,1
TN,1999,374,5638706,6.6,6,7.3,0.3
TN,2000,426,5689283,7.5,6.8,8.2,0.4
TN,2001,469,5750789,8.2,7.4,8.9,0.4
TN,2002,524,5795918,9,8.3,9.8,0.4
TN,2003,713,5847812,12.2,11.3,13.1,0.5
TN,2004,822,5910809,13.9,13,14.9,0.5
TN,2005,936,5991057,15.6,14.6,16.6,0.5
TN,2006,1030,6088766,16.9,15.9,17.9,0.5
TN,2007,1035,6175727,16.8,15.7,17.8,0.5
TN,2008,977,6247411,15.6,14.7,16.6,0.5
TN,2009,1000,6306019,15.9,14.9,16.8,0.5
TN,2010,1132,6346105,17.8,16.8,18.9,0.5
TN,2011,1123,6403353,17.5,16.5,18.6,0.5
TN,2012,1221,6456243,18.9,17.9,20,0.5
TN,2013,1284,6495978,19.8,18.7,20.8,0.6
TN,2014,1330,6549352,20.3,19.2,21.4,0.6
TN,2015,1546,6600299,23.4,22.3,24.6,0.6
TX,1999,1250,20558220,6.1,5.7,6.4,0.2
TX,2000,1211,20851820,5.8,5.5,6.1,0.2
TX,2001,1522,21319622,7.1,6.8,7.5,0.2
TX,2002,1780,21690325,8.2,7.8,8.6,0.2
TX,2003,1985,22030931,9,8.6,9.4,0.2
TX,2004,2039,22394023,9.1,8.7,9.5,0.2
TX,2005,2152,22778123,9.4,9,9.8,0.2
TX,2006,2452,23359580,10.5,10.1,10.9,0.2
TX,2007,2343,23831983,9.8,9.4,10.2,0.2
TX,2008,2199,24309039,9,8.7,9.4,0.2
TX,2009,2509,24801761,10.1,9.7,10.5,0.2
TX,2010,2492,25145561,9.9,9.5,10.3,0.2
TX,2011,2690,25674681,10.5,10.1,10.9,0.2
TX,2012,2546,26059203,9.8,9.4,10.1,0.2
TX,2013,2606,26448193,9.9,9.5,10.2,0.2
TX,2014,2727,26956958,10.1,9.7,10.5,0.2
TX,2015,2732,27469114,9.9,9.6,10.3,0.2
UT,1999,212,2203482,9.6,8.3,10.9,0.7
UT,2000,224,2233169,10,8.7,11.3,0.7
UT,2001,216,2283715,9.5,8.2,10.7,0.6
UT,2002,300,2324815,12.9,11.4,14.4,0.7
UT,2003,368,2360137,15.6,14,17.2,0.8
UT,2004,411,2401580,17.1,15.5,18.8,0.8
UT,2005,481,2457719,19.6,17.8,21.3,0.9
UT,2006,481,2525507,19,17.3,20.7,0.9
UT,2007,546,2597746,21,19.3,22.8,0.9
UT,2008,483,2663029,18.1,16.5,19.8,0.8
UT,2009,508,2723421,18.7,17,20.3,0.8
UT,2010,457,2763885,16.5,15,18.1,0.8
UT,2011,520,2817222,18.5,16.9,20,0.8
UT,2012,612,2855287,21.4,19.7,23.1,0.9
UT,2013,612,2900872,21.1,19.4,22.8,0.9
UT,2014,617,2942902,21,19.3,22.6,0.8
UT,2015,667,2995919,22.3,20.6,24,0.9
VT,1999,31,604683,5.1,3.5,7.3,0.9
VT,2000,37,608827,6.1,4.3,8.4,1
VT,2001,53,612223,8.7,6.5,11.3,1.2
VT,2002,54,615442,8.8,6.6,11.4,1.2
VT,2003,73,617858,11.8,9.3,14.9,1.4
VT,2004,52,619920,8.4,6.3,11,1.2
VT,2005,55,621215,8.9,6.7,11.5,1.2
VT,2006,83,622892,13.3,10.6,16.5,1.5
VT,2007,68,623481,10.9,8.5,13.8,1.3
VT,2008,76,624151,12.2,9.6,15.2,1.4
VT,2009,57,624817,9.1,6.9,11.8,1.2
VT,2010,68,625741,10.9,8.4,13.8,1.3
VT,2011,87,626431,13.9,11.1,17.1,1.5
VT,2012,81,626011,12.9,10.3,16.1,1.4
VT,2013,99,626630,15.8,12.8,19.2,1.6
VT,2014,90,626562,14.4,11.6,17.7,1.5
VT,2015,111,626042,17.7,14.4,21,1.7
VA,1999,391,7000174,5.6,5,6.1,0.3
VA,2000,441,7078515,6.2,5.6,6.8,0.3
VA,2001,503,7198362,7,6.4,7.6,0.3
VA,2002,527,7286873,7.2,6.6,7.8,0.3
VA,2003,580,7366977,7.9,7.2,8.5,0.3
VA,2004,595,7475575,8,7.3,8.6,0.3
VA,2005,617,7577105,8.1,7.5,8.8,0.3
VA,2006,670,7673725,8.7,8.1,9.4,0.3
VA,2007,713,7751000,9.2,8.5,9.9,0.3
VA,2008,730,7833496,9.3,8.6,10,0.3
VA,2009,700,7925937,8.8,8.2,9.5,0.3
VA,2010,571,8001024,7.1,6.6,7.7,0.3
VA,2011,817,8096604,10.1,9.4,10.8,0.4
VA,2012,755,8185867,9.2,8.6,9.9,0.3
VA,2013,890,8260405,10.8,10.1,11.5,0.4
VA,2014,1002,8326289,12,11.3,12.8,0.4
VA,2015,1070,8382993,12.8,12,13.5,0.4
WA,1999,596,5842564,10.2,9.4,11,0.4
WA,2000,599,5894121,10.2,9.3,11,0.4
WA,2001,547,5985722,9.1,8.4,9.9,0.4
WA,2002,694,6052349,11.5,10.6,12.3,0.4
WA,2003,752,6104115,12.3,11.4,13.2,0.4
WA,2004,888,6178645,14.4,13.4,15.3,0.5
WA,2005,931,6257305,14.9,13.9,15.8,0.5
WA,2006,970,6370753,15.2,14.3,16.2,0.5
WA,2007,1003,6461587,15.5,14.6,16.5,0.5
WA,2008,1058,6562231,16.1,15.2,17.1,0.5
WA,2009,1031,6667426,15.5,14.5,16.4,0.5
WA,2010,962,6724540,14.3,13.4,15.2,0.5
WA,2011,1050,6830038,15.4,14.4,16.3,0.5
WA,2012,1033,6897012,15,14.1,15.9,0.5
WA,2013,1042,6971406,14.9,14,15.9,0.5
WA,2014,1058,7061530,15,14.1,15.9,0.5
WA,2015,1189,7170351,16.6,15.6,17.5,0.5
WV,1999,80,1811799,4.4,3.5,5.5,0.5
WV,2000,122,1808344,6.7,5.5,7.9,0.6
WV,2001,217,1801481,12,10.4,13.6,0.8
WV,2002,237,1805414,13.1,11.5,14.8,0.9
WV,2003,279,1812295,15.4,13.6,17.2,0.9
WV,2004,347,1816438,19.1,17.1,21.1,1
WV,2005,197,1820492,10.8,9.3,12.3,0.8
WV,2006,378,1827912,20.7,18.6,22.8,1.1
WV,2007,405,1834052,22.1,19.9,24.2,1.1
WV,2008,468,1840310,25.4,23.1,27.7,1.2
WV,2009,235,1847775,12.7,11.1,14.3,0.8
WV,2010,520,1852994,28.1,25.7,30.5,1.2
WV,2011,645,1855364,34.8,32.1,37.4,1.4
WV,2012,576,1855413,31,28.5,33.6,1.3
WV,2013,583,1854304,31.4,28.9,34,1.3
WV,2014,646,1850326,34.9,32.2,37.6,1.4
WV,2015,750,1844128,40.7,37.8,43.6,1.5
WI,1999,237,5332666,4.4,3.9,5,0.3
WI,2000,278,5363675,5.2,4.6,5.8,0.3
WI,2001,297,5406835,5.5,4.9,6.1,0.3
WI,2002,364,5445162,6.7,6,7.4,0.4
WI,2003,433,5479203,7.9,7.2,8.6,0.4
WI,2004,483,5514026,8.8,8,9.5,0.4
WI,2005,561,5546166,10.1,9.3,11,0.4
WI,2006,642,5577655,11.5,10.6,12.4,0.5
WI,2007,639,5610775,11.4,10.5,12.3,0.5
WI,2008,622,5640996,11,10.2,11.9,0.4
WI,2009,641,5669264,11.3,10.4,12.2,0.4
WI,2010,635,5686986,11.2,10.3,12,0.4
WI,2011,712,5711767,12.5,11.5,13.4,0.5
WI,2012,714,5726398,12.5,11.6,13.4,0.5
WI,2013,874,5742713,15.2,14.2,16.2,0.5
WI,2014,874,5757564,15.2,14.2,16.2,0.5
WI,2015,894,5771337,15.5,14.5,16.5,0.5
WY,1999,21,491780,4.3,2.6,6.5,0.9
WY,2000,27,493782,5.5,3.6,8,1.1
WY,2001,25,494657,5.1,3.3,7.5,1
WY,2002,36,500017,7.2,5,10,1.2
WY,2003,37,503453,7.3,5.2,10.1,1.2
WY,2004,64,509106,12.6,9.7,16.1,1.6
WY,2005,45,514157,8.8,6.4,11.7,1.3
WY,2006,64,522667,12.2,9.4,15.6,1.5
WY,2007,68,534876,12.7,9.9,16.1,1.5
WY,2008,74,546043,13.6,10.6,17,1.6
WY,2009,63,559851,11.3,8.6,14.4,1.4
WY,2010,88,563626,15.6,12.5,19.2,1.7
WY,2011,88,568158,15.5,12.4,19.1,1.7
WY,2012,99,576412,17.2,14,20.9,1.7
WY,2013,99,582658,17,13.8,20.7,1.7
WY,2014,112,584153,19.2,15.6,22.7,1.8
WY,2015,99,586107,16.9,13.7,20.6,1.7